epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,396.969,1.81098,2.64702,1.97532,0.76971,0.14853,0.15426,0.08924,1.58113,2.23782,1.73858,0.000265707,0.000265707,0.0670523
2,771.69,1.72725,2.21131,1.93585,0.46027,0.38508,0.34946,0.1984,1.56515,1.54554,1.66365,0.00053236,0.00053236,0.0339856
3,1142.56,1.65022,1.98432,1.86575,0.51862,0.33809,0.3314,0.17191,1.62416,1.64538,1.72542,0.000798954,0.000798954,0.000918858
4,1513.68,1.62386,1.90937,1.84503,0.55248,0.56373,0.51675,0.30265,1.48743,1.32996,1.62766,0.000799804,0.000799804,0.000799804
5,1884.81,1.56557,1.80183,1.80651,0.56898,0.55386,0.50356,0.29887,1.43134,1.44177,1.58318,0.000799652,0.000799652,0.000799652
6,2255.94,1.53757,1.71096,1.78007,0.62531,0.61469,0.56893,0.34544,1.37723,1.20178,1.55334,0.000799456,0.000799456,0.000799456
7,2627.36,1.49451,1.64965,1.74173,0.5845,0.58112,0.53588,0.32235,1.34152,1.22476,1.53774,0.000799217,0.000799217,0.000799217
8,2998.13,1.47114,1.61129,1.72953,0.66121,0.61111,0.59002,0.35984,1.42809,1.24994,1.5562,0.000798934,0.000798934,0.000798934
9,3369.56,1.43322,1.58165,1.69858,0.67652,0.66423,0.61146,0.37783,1.33064,1.15918,1.51359,0.000798608,0.000798608,0.000798608
10,3740.49,1.41429,1.52955,1.6913,0.66276,0.67956,0.62687,0.39077,1.35063,1.17282,1.49202,0.000798239,0.000798239,0.000798239
11,4111.82,1.40284,1.51282,1.677,0.67834,0.68044,0.61787,0.39251,1.32221,1.17009,1.49154,0.000797826,0.000797826,0.000797826
12,4483.39,1.38731,1.50003,1.66423,0.66882,0.64091,0.60265,0.36457,1.40119,1.16519,1.50595,0.00079737,0.00079737,0.00079737
